sub,name,band,papers,papers_used,export_share_median,export_share_mean,import_share_early,median_cited_by
0,3D Pointing & VR Interaction,Input & Interaction Techniques,675,405,0.795,0.782,0.848,39
1,RF & Radar Sensing,Input & Interaction Techniques,656,211,0.818,0.783,0.863,48
2,Wearable Activity Recognition,Input & Interaction Techniques,535,310,0.896,0.864,0.896,40
3,Pointing & Target Selection,Input & Interaction Techniques,523,334,0.75,0.721,0.855,33
4,Hand Input & Gesture Sensing,Input & Interaction Techniques,501,313,0.642,0.654,0.817,39
5,Fisheye & Scrolling Techniques,Input & Interaction Techniques,463,375,0.881,0.851,0.87,46
6,Gesture Elicitation & Recognition,Input & Interaction Techniques,444,316,0.676,0.677,0.765,30
7,Pen & Sketch Input,Input & Interaction Techniques,414,329,0.727,0.713,0.803,33
8,Text Entry,Input & Interaction Techniques,399,267,0.667,0.664,0.825,37
9,Touch & Multi-touch Input,Input & Interaction Techniques,308,231,0.579,0.594,0.697,29
11,VR Haptics,"Tangible, VR & Fabrication",684,300,0.687,0.7,0.887,45
12,Deformable & Soft Displays,"Tangible, VR & Fabrication",679,386,0.593,0.597,0.764,28
13,Tangible Interaction,"Tangible, VR & Fabrication",674,452,0.743,0.714,0.734,23
14,Printed Electronics,"Tangible, VR & Fabrication",518,295,0.545,0.561,0.77,31
15,Digital Fabrication,"Tangible, VR & Fabrication",513,211,0.455,0.47,0.666,37
16,E-textiles & Weaving,"Tangible, VR & Fabrication",477,214,0.574,0.567,0.863,26
17,Tactile & Thermal Feedback,"Tangible, VR & Fabrication",344,217,0.743,0.716,0.821,31
18,VR Locomotion & Presence,"Tangible, VR & Fabrication",286,149,0.838,0.83,0.952,26
19,Physical Prototyping Toolkits,"Tangible, VR & Fabrication",198,136,0.7,0.663,0.761,19
20,Making & Makerspaces,"Tangible, VR & Fabrication",152,103,0.609,0.603,0.845,30
21,Data Physicalization & Bio-materials,"Tangible, VR & Fabrication",320,117,0.688,0.656,0.806,25
22,Gaze-based Interaction,"Gaze, Eye Tracking & Multimodal Sensing",351,207,0.759,0.736,0.74,35
23,Eye Tracker Quality & Gaze Estimation,"Gaze, Eye Tracking & Multimodal Sensing",260,153,0.85,0.834,0.851,24
24,Scanpaths & Visual Search,"Gaze, Eye Tracking & Multimodal Sensing",255,132,0.867,0.86,0.871,29
25,Pupillometry & Cognitive Load,"Gaze, Eye Tracking & Multimodal Sensing",245,140,0.84,0.835,0.897,25
26,Gaze in Conversation & Groups,"Gaze, Eye Tracking & Multimodal Sensing",218,137,0.872,0.852,0.918,23
27,Authentication & Passwords,"Gaze, Eye Tracking & Multimodal Sensing",200,117,0.843,0.825,0.906,42
28,Affect Recognition,"Gaze, Eye Tracking & Multimodal Sensing",180,142,0.929,0.917,0.954,35
29,Multimodal Sentiment & Speaking,"Gaze, Eye Tracking & Multimodal Sensing",163,105,0.896,0.845,0.952,24
30,Fixation & Saccade Analysis,"Gaze, Eye Tracking & Multimodal Sensing",153,50,0.868,0.826,0.919,14
31,Gaze Calibration & Datasets,"Gaze, Eye Tracking & Multimodal Sensing",140,98,0.725,0.717,0.868,42
32,Reading & Implicit Interest,"Gaze, Eye Tracking & Multimodal Sensing",307,174,0.871,0.839,0.922,25
33,Remote Collaboration & Telepresence,"Collaboration, Displays & Mixed Reality",653,396,0.789,0.767,0.785,31
34,CSCW Foundations,"Collaboration, Displays & Mixed Reality",564,489,0.897,0.878,0.911,35
35,Cross-device & Large Displays,"Collaboration, Displays & Mixed Reality",467,354,0.762,0.735,0.782,34
36,UI Toolkits & Automatic Generation,"Collaboration, Displays & Mixed Reality",378,323,0.878,0.852,0.915,22
37,AR Authoring & Assembly,"Collaboration, Displays & Mixed Reality",349,146,0.759,0.732,0.848,31
38,Tabletop Collaboration,"Collaboration, Displays & Mixed Reality",294,230,0.764,0.759,0.726,25
39,Public & Ambient Displays,"Collaboration, Displays & Mixed Reality",288,204,0.757,0.752,0.723,25
40,Real-time Groupware,"Collaboration, Displays & Mixed Reality",289,257,0.885,0.858,0.892,38
41,Social VR & Presence,"Collaboration, Displays & Mixed Reality",240,75,0.795,0.773,0.89,42
