sub,name,band,papers,first_year,birth_year,first_reach_year,peak_year,median_year,q1_year,q3_year,mean_depth,max_depth
0,Participatory & Community Design,Social Media & Online Communities,752,1983,2007,2005,2025,2022,2018,2024,42.52,61
1,Social Media & Privacy,Social Media & Online Communities,566,1989,2006,2008,2025,2020,2016,2024,40.29,60
2,Wikipedia & Open Source,Social Media & Online Communities,472,1986,2002,2002,2012,2015,2012,2020,30.95,58
3,Misinformation & News,Social Media & Online Communities,422,1994,2009,2010,2025,2021,2017,2024,39.77,59
4,Content Moderation,Social Media & Online Communities,432,2004,2011,2011,2025,2022,2019,2024,44.61,59
5,Gig Work & Labour,Social Media & Online Communities,356,1986,2012,2011,2025,2021,2017,2024,42.34,59
6,Civic Data & Communities,Social Media & Online Communities,341,1982,2004,2004,2018,2019,2015,2023,38.04,59
7,"Infrastructure, Hackathons & Crypto",Social Media & Online Communities,200,1982,1985,1986,2021,2016,2002,2021,26.73,57
8,Refugees & Migration,Social Media & Online Communities,126,2002,2017,2008,2024,2022,2019,2024,42.89,60
9,Political Talk & Team Formation,Social Media & Online Communities,114,1994,2014,2004,2017,2018,2015,2021,34.41,53
10,Crowdfunding & Social Tagging,Social Media & Online Communities,116,1982,2000,2001,2010,2011,2008,2017,25.47,52
11,Health & Wellbeing,"Health, Care & Ageing",414,1996,2009,2011,2025,2021,2018,2024,42.67,60
12,Personal Informatics,"Health, Care & Ageing",425,2005,2011,2010,2025,2021,2017,2024,43.15,60
13,Older Adults & Dementia Care,"Health, Care & Ageing",334,2001,2003,2005,2025,2021,2016,2024,38.41,60
14,Persuasive Health & Activity,"Health, Care & Ageing",200,1992,2006,2006,2015,2016,2012,2021,32.3,61
15,Chronic Care & Caregiving,"Health, Care & Ageing",252,1998,2008,2006,2025,2019,2015,2023,38.63,60
16,Mindfulness & Biofeedback,"Health, Care & Ageing",204,2002,2013,2010,2026,2022,2017,2025,41.81,60
17,Family Health Informatics,"Health, Care & Ageing",171,1998,2014,2004,2024,2020,2015,2024,38.11,58
18,Hospital Work & Records,"Health, Care & Ageing",153,1988,1994,1994,2008,2014,2008,2021,27.61,59
19,Rehabilitation & Mobility Support,"Health, Care & Ageing",111,2005,2012,2011,2022,2019,2015,2022,32.36,58
20,Autism & Neurodiversity,Accessibility & Assistive Tech,352,1988,2007,2005,2025,2021,2016,2024,37.18,61
21,Web Accessibility,Accessibility & Assistive Tech,357,1992,1992,1994,2025,2019,2009,2023,31.24,61
22,Deaf & Sign Language,Accessibility & Assistive Tech,302,1994,2005,2002,2025,2021,2016,2024,35.86,60
23,Non-visual Navigation,Accessibility & Assistive Tech,299,1994,2002,1998,2024,2019,2014,2023,34.27,60
24,"ICTD, Mobile Money & Women",Accessibility & Assistive Tech,227,1997,2005,2007,2019,2018,2013,2021,35.73,58
25,Visual Accessibility,Accessibility & Assistive Tech,286,2003,2011,2006,2025,2021,2018,2024,43.42,61
26,Non-visual Touch Interfaces,Accessibility & Assistive Tech,247,1996,2005,2000,2023,2019,2014,2023,35.03,60
27,Women's Health & Menstrual Tracking,Accessibility & Assistive Tech,211,2007,2017,2010,2024,2023,2020,2025,46.65,60
28,Blind Access to VR,Accessibility & Assistive Tech,113,1998,2017,2008,2025,2021,2017,2024,38.62,60
29,AAC & Aphasia,Accessibility & Assistive Tech,118,1994,2009,2003,2025,2019,2013,2023,31.75,60
30,Low-vision Accessibility,Accessibility & Assistive Tech,107,1981,2017,2007,2025,2021,2015,2023,36.37,60
31,Assistive Technology & Dyslexia,Accessibility & Assistive Tech,139,1998,2012,2005,2025,2020,2015,2023,34.45,60
32,Location Sharing & Privacy,Privacy & Security,123,2002,2004,2005,2012,2013,2010,2016,28.02,54
33,Smart-home Privacy,Privacy & Security,117,2002,2017,2008,2024,2022,2020,2024,42.81,57
34,Dark Patterns,Privacy & Security,98,2012,2019,2015,2024,2024,2021,2025,46.95,61
35,Usable Security & Phishing,Privacy & Security,559,1982,1986,1988,2023,2018,2012,2023,30.18,61
36,Design Research & Art,Design Research & Practice,513,1986,1988,1994,2024,2019,2014,2023,36.44,60
37,Bodily Play & Spectator Experience,Design Research & Practice,417,1994,2000,2002,2014,2016,2012,2020,32.07,60
38,"Body, Movement & Soma Design",Design Research & Practice,443,1983,2002,2002,2024,2021,2018,2024,39.1,60
39,Memory & Reminiscence,Design Research & Practice,407,1996,2000,2002,2025,2016,2010,2022,33.4,60
40,More-than-human Design,Design Research & Practice,329,1997,2011,2005,2025,2023,2019,2025,42.68,63
41,Sustainable HCI,Design Research & Practice,332,2004,2006,2008,2013,2016,2013,2021,34.6,58
42,Human-Food Interaction,Design Research & Practice,137,2002,2010,2010,2020,2020,2016,2023,38.07,59
43,Materials & Craft in HCI,Design Research & Practice,110,1998,2009,2003,2012,2015,2012,2019,32.32,58
44,Data Physicalization,Design Research & Practice,90,2010,2014,2014,2026,2022,2017,2025,41.49,59
45,Smart Home Automation,Design Research & Practice,180,1985,2003,2000,2020,2017,2012,2021,33.65,57
46,Co-design with Children,"Children, Learning & Youth",102,1989,1995,1995,2014,2014,2003,2020,24.37,58
47,Youth & Online Media,"Children, Learning & Youth",150,1988,2014,2014,2025,2023,2019,2025,43.05,58
48,AI Literacy & K-12,"Children, Learning & Youth",51,2017,2022,2019,2026,2024,2022,2026,47.8,58
49,Family & Intergenerational Communication,"Children, Learning & Youth",98,1998,2010,2010,2018,2018,2013,2023,36.61,58
50,Children's Reading & Storytelling Agents,"Children, Learning & Youth",46,1992,2022,2010,2025,2024,2020,2025,39.98,59
51,Personas & Child-centred Design,"Children, Learning & Youth",92,1997,2018,2006,2025,2019,2014,2023,30.32,60
52,Child-Robot Interaction,Robots & Conversational Agents,130,1992,2018,2006,2025,2022,2017,2025,34.58,57
53,Voice Assistants for Older Adults,Robots & Conversational Agents,278,1995,2004,2002,2025,2022,2019,2024,41.37,61
54,Robot Programming,Robots & Conversational Agents,60,2002,2024,2005,2024,2020,2011,2024,29.98,60
55,Nonverbal & Public-speaking Analysis,Robots & Conversational Agents,80,2001,2013,2009,2018,2018,2014,2021,29.39,56
56,Robot Programming (robot),Robots & Conversational Agents,57,2004,2023,2009,2025,2022,2018,2025,35.14,57
57,Chatbot Companions,Robots & Conversational Agents,247,1993,2016,1998,2025,2023,2020,2025,40.71,60
58,Human-Robot Interaction,Robots & Conversational Agents,85,2002,2016,2012,2021,2021,2018,2024,37.42,60
59,Child-Robot Interaction (robot),Robots & Conversational Agents,34,1983,2024,2002,2024,2024,2019,2025,30.74,57
60,Virtual Agents & Social Effects,Robots & Conversational Agents,100,1990,1995,1993,2003,2004,2000,2015,15.23,59
61,Multilingual & Multimodal Communication,Robots & Conversational Agents,133,1982,2002,1983,2013,2013,2006,2019,25.52,59
62,"LLMs, Writing & Prompting",Human-AI Interaction & Data,805,1982,2014,2008,2025,2025,2023,2025,47.73,61
63,Human-AI Trust & Explanation,Human-AI Interaction & Data,657,1983,2007,2007,2025,2023,2021,2025,45.36,61
64,Crowdsourcing & Peer Feedback,Human-AI Interaction & Data,555,1982,1990,1994,2017,2016,2013,2021,33.01,61
65,Data Visualization,Human-AI Interaction & Data,493,1985,1988,1989,2025,2020,2014,2024,33.31,61
66,Algorithmic Fairness & Auditing,Human-AI Interaction & Data,495,1997,2013,2006,2025,2022,2020,2024,43.39,60
