sub,name,band,year,papers,cites_received
0,Participatory & Community Design,Social Media & Online Communities,1983,1,0
0,Participatory & Community Design,Social Media & Online Communities,1988,1,0
0,Participatory & Community Design,Social Media & Online Communities,1990,2,0
0,Participatory & Community Design,Social Media & Online Communities,1991,1,2
0,Participatory & Community Design,Social Media & Online Communities,1992,1,2
0,Participatory & Community Design,Social Media & Online Communities,1994,1,1
0,Participatory & Community Design,Social Media & Online Communities,1995,1,0
0,Participatory & Community Design,Social Media & Online Communities,1996,1,0
0,Participatory & Community Design,Social Media & Online Communities,1997,0,1
0,Participatory & Community Design,Social Media & Online Communities,1998,0,1
0,Participatory & Community Design,Social Media & Online Communities,2000,2,2
0,Participatory & Community Design,Social Media & Online Communities,2001,1,0
0,Participatory & Community Design,Social Media & Online Communities,2002,1,3
0,Participatory & Community Design,Social Media & Online Communities,2004,1,1
0,Participatory & Community Design,Social Media & Online Communities,2005,2,2
0,Participatory & Community Design,Social Media & Online Communities,2006,1,5
0,Participatory & Community Design,Social Media & Online Communities,2007,2,10
0,Participatory & Community Design,Social Media & Online Communities,2008,5,13
0,Participatory & Community Design,Social Media & Online Communities,2009,4,12
0,Participatory & Community Design,Social Media & Online Communities,2010,9,20
0,Participatory & Community Design,Social Media & Online Communities,2011,14,44
0,Participatory & Community Design,Social Media & Online Communities,2012,16,94
0,Participatory & Community Design,Social Media & Online Communities,2013,13,93
0,Participatory & Community Design,Social Media & Online Communities,2014,22,136
0,Participatory & Community Design,Social Media & Online Communities,2015,19,160
0,Participatory & Community Design,Social Media & Online Communities,2016,21,271
0,Participatory & Community Design,Social Media & Online Communities,2017,30,433
0,Participatory & Community Design,Social Media & Online Communities,2018,36,487
0,Participatory & Community Design,Social Media & Online Communities,2019,55,755
0,Participatory & Community Design,Social Media & Online Communities,2020,44,658
0,Participatory & Community Design,Social Media & Online Communities,2021,64,1283
0,Participatory & Community Design,Social Media & Online Communities,2022,60,1270
0,Participatory & Community Design,Social Media & Online Communities,2023,58,1314
0,Participatory & Community Design,Social Media & Online Communities,2024,86,1787
0,Participatory & Community Design,Social Media & Online Communities,2025,100,2358
0,Participatory & Community Design,Social Media & Online Communities,2026,77,1928
1,Social Media & Privacy,Social Media & Online Communities,1989,1,0
1,Social Media & Privacy,Social Media & Online Communities,2000,2,0
1,Social Media & Privacy,Social Media & Online Communities,2001,0,1
